Distance_(pixels),Gray_Value
0,0.0000
1,0.0000
2,0.0000
3,0.0000
4,0.0000
5,0.0000
6,0.0000
7,0.0000
8,0.0000
9,0.0000
10,0.0000
11,0.0000
12,0.0000
13,0.0000
14,0.0000
15,0.0000
16,0.0000
17,0.0000
18,0.0000
19,0.0000
20,0.0000
21,0.0000
22,0.0000
23,0.0000
24,0.0000
25,0.0000
26,0.0000
27,0.0000
28,0.0000
29,0.0000
30,0.0000
31,0.0000
32,0.0000
33,0.0000
34,0.0000
35,0.0000
36,0.0000
37,0.0000
38,0.0000
39,0.0000
40,0.0000
41,0.0000
42,0.0000
43,0.0000
44,0.0000
45,0.0000
46,0.0000
47,0.0000
48,0.0000
49,0.0000
50,0.0000
51,0.0000
52,0.0000
53,0.0000
54,0.0000
55,0.0000
56,0.0000
57,0.0000
58,0.0000
59,0.0000
60,0.0000
61,0.0000
62,0.0000
63,0.0000
64,0.0000
65,0.0000
66,0.0000
67,0.0000
68,0.0000
69,0.0000
70,0.0000
71,0.0000
72,0.0000
73,0.0000
74,0.0000
75,0.0000
76,0.0000
77,0.0000
78,0.0000
79,0.0000
80,0.0000
81,0.0000
82,0.0000
83,0.0000
84,0.0000
85,0.0000
86,0.0000
87,0.0000
88,0.0000
89,0.0000
90,0.0000
91,0.0000
92,0.0000
93,0.0000
94,0.0000
95,0.0000
96,0.0000
97,0.0000
98,0.0000
99,0.0000
100,0.0000
101,0.0000
102,0.0000
103,0.0000
104,0.0000
105,0.0000
106,0.0000
107,0.0000
108,0.0000
109,0.0000
110,0.0000
111,0.0000
112,0.0000
113,0.0000
114,0.0000
115,0.0000
116,0.0000
117,0.0000
118,0.0000
119,0.0000
120,0.0000
121,0.0000
122,0.0000
123,0.0000
124,0.0000
125,0.0000
126,0.0000
127,0.0000
128,0.0000
129,0.0000
130,0.0000
131,0.0000
132,0.0000
133,0.0000
134,0.0000
135,0.0000
136,0.0000
137,0.0000
138,0.0000
139,0.0000
140,0.0000
141,0.0000
142,0.0000
143,0.0000
144,0.0000
145,0.0000
146,0.0000
147,0.0000
148,0.0000
149,0.0000
150,0.0000
151,0.0000
152,0.0000
153,0.0000
154,0.0000
155,0.0000
156,0.0000
157,0.0000
158,0.0000
159,0.0000
160,0.0000
161,0.0000
162,0.0000
163,0.0000
164,0.0000
165,0.0000
166,0.0000
167,0.0000
168,0.0000
169,0.0000
170,0.0000
171,0.0000
172,0.0000
173,0.0000
174,0.0000
175,0.0000
176,0.0000
177,0.0000
178,0.0000
179,0.0000
180,0.0000
181,0.0000
182,0.0000
183,0.0000
184,0.0000
185,0.0000
186,0.0000
187,0.0000
188,0.0000
189,0.0000
190,0.0000
191,0.0000
192,0.0000
193,0.0000
194,0.0000
195,0.0000
196,0.0000
197,0.0000
198,0.0000
199,0.0000
200,0.0000
201,0.0000
202,0.0000
203,0.0000
204,0.0000
205,22.0000
206,22.0000
207,19.0000
208,21.6667
209,21.3333
210,23.0000
211,24.0000
212,22.6667
213,21.0000
214,21.3333
215,23.0000
216,23.0000
217,22.3333
218,24.0000
219,24.6667
220,25.6667
221,22.0000
222,23.0000
223,24.0000
224,22.6667
225,22.0000
226,24.0000
227,21.3333
228,24.0000
229,24.0000
230,23.6667
231,23.6667
232,23.6667
233,24.0000
234,24.3333
235,21.3333
236,21.3333
237,20.3333
238,21.3333
239,22.3333
240,23.6667
241,23.0000
242,22.3333
243,22.3333
244,23.3333
245,23.6667
246,23.3333
247,23.3333
248,24.3333
249,24.0000
250,23.3333
251,22.3333
252,24.3333
253,24.3333
254,24.0000
255,25.3333
256,25.6667
257,24.3333
258,24.3333
259,23.3333
260,22.6667
261,25.0000
262,26.3333
263,22.3333
264,23.0000
265,24.3333
266,24.3333
267,23.3333
268,25.6667
269,24.3333
270,24.3333
271,23.0000
272,24.6667
273,23.6667
274,25.6667
275,25.3333
276,25.3333
277,26.3333
278,24.6667
279,23.0000
280,25.6667
281,25.3333
282,24.6667
283,23.0000
284,24.3333
285,24.6667
286,24.0000
287,25.6667
288,25.6667
289,24.3333
290,25.6667
291,25.0000
292,25.3333
293,25.3333
294,25.6667
295,26.6667
296,25.6667
297,24.0000
298,26.3333
299,26.0000
300,24.6667
301,24.3333
302,25.0000
303,25.6667
304,25.6667
305,27.3333
306,29.0000
307,24.6667
308,25.3333
309,23.0000
310,25.3333
311,26.3333
312,25.0000
313,26.0000
314,26.0000
315,25.0000
316,25.6667
317,25.3333
318,25.3333
319,27.3333
320,27.3333
321,25.3333
322,25.0000
323,25.6667
324,29.0000
325,29.0000
326,25.6667
327,29.0000
328,29.0000
329,30.3333
330,25.6667
331,23.3333
332,25.3333
333,25.6667
334,25.3333
335,27.0000
336,27.3333
337,26.0000
338,25.0000
339,23.6667
340,25.3333
341,24.6667
342,25.6667
343,24.6667
344,25.6667
345,26.6667
346,30.0000
347,29.0000
348,29.0000
349,28.0000
350,25.6667
351,26.0000
352,26.6667
353,25.6667
354,27.6667
355,26.6667
356,25.6667
357,25.0000
358,25.6667
359,25.6667
360,25.6667
361,26.6667
362,26.0000
363,26.0000
364,26.0000
365,26.0000
366,25.6667
367,25.6667
368,27.0000
369,28.0000
370,29.6667
371,25.3333
372,25.6667
373,26.3333
374,26.6667
375,25.0000
376,25.3333
377,25.6667
378,30.0000
379,26.6667
380,26.3333
381,26.6667
382,28.6667
383,27.0000
384,27.0000
385,29.3333
386,30.6667
387,28.6667
388,26.6667
389,24.6667
390,26.3333
391,26.6667
392,27.6667
393,26.0000
394,27.0000
395,27.6667
396,29.0000
397,28.3333
398,28.0000
399,28.3333
400,26.6667
401,27.6667
402,28.0000
403,28.0000
404,29.3333
405,30.0000
406,28.6667
407,26.6667
408,27.6667
409,27.0000
410,29.0000
411,28.6667
412,29.3333
413,28.3333
414,29.3333
415,28.0000
416,30.6667
417,28.6667
418,28.6667
419,28.6667
420,27.3333
421,28.0000
422,29.0000
423,28.3333
424,28.6667
425,29.3333
426,29.0000
427,27.3333
428,28.3333
429,28.3333
430,28.3333
431,27.0000
432,28.6667
433,29.0000
434,29.0000
435,28.0000
436,29.6667
437,32.0000
438,31.6667
439,32.6667
440,30.6667
441,31.0000
442,31.0000
443,29.3333
444,31.3333
445,30.3333
446,30.6667
447,29.0000
448,29.6667
449,29.6667
450,29.6667
451,27.6667
452,31.3333
453,29.6667
454,31.0000
455,32.0000
456,33.0000
457,30.0000
458,31.0000
459,31.3333
460,31.6667
461,29.6667
462,29.6667
463,32.6667
464,31.6667
465,33.0000
466,31.0000
467,30.3333
468,32.6667
469,31.3333
470,32.6667
471,29.6667
472,31.3333
473,31.0000
474,32.0000
475,31.3333
476,32.6667
477,32.6667
478,35.3333
479,33.3333
480,33.3333
481,31.0000
482,32.0000
483,31.6667
484,32.6667
485,32.6667
486,32.6667
487,32.3333
488,31.6667
489,31.0000
490,32.3333
491,32.0000
492,34.3333
493,32.0000
494,33.0000
495,32.0000
496,33.3333
497,32.6667
498,34.0000
499,32.0000
500,33.6667
501,34.6667
502,34.0000
503,34.6667
504,33.3333
505,32.3333
506,34.3333
507,32.3333
508,34.0000
509,35.3333
510,34.6667
511,33.6667
512,34.6667
513,33.6667
514,34.6667
515,34.6667
516,35.0000
517,34.6667
518,35.0000
519,33.3333
520,34.6667
521,35.6667
522,34.3333
523,34.3333
524,34.3333
525,34.3333
526,35.3333
527,35.3333
528,35.3333
529,35.3333
530,35.6667
531,34.0000
532,34.6667
533,35.3333
534,36.0000
535,34.6667
536,35.6667
537,32.6667
538,36.6667
539,36.0000
540,35.0000
541,36.0000
542,37.3333
543,36.6667
544,35.6667
545,34.6667
546,36.6667
547,36.6667
548,35.6667
549,36.0000
550,35.6667
551,36.0000
552,37.3333
553,36.3333
554,38.0000
555,36.0000
556,36.3333
557,36.0000
558,37.0000
559,38.6667
560,36.3333
561,36.0000
562,36.6667
563,36.3333
564,37.6667
565,38.0000
566,38.0000
567,39.3333
568,37.3333
569,37.3333
570,38.3333
571,36.6667
572,37.6667
573,36.6667
574,38.0000
575,39.3333
576,39.0000
577,39.3333
578,39.3333
579,39.6667
580,39.3333
581,38.0000
582,38.3333
583,38.0000
584,39.3333
585,39.3333
586,40.0000
587,39.6667
588,40.6667
589,39.3333
590,41.3333
591,41.3333
592,41.3333
593,40.0000
594,39.6667
595,41.0000
596,40.3333
597,39.6667
598,41.0000
599,41.0000
600,41.0000
601,40.6667
602,41.0000
603,41.0000
604,41.3333
605,41.3333
606,42.6667
607,42.6667
608,42.6667
609,42.6667
610,41.6667
611,42.3333
612,43.0000
613,42.6667
614,42.6667
615,42.3333
616,42.6667
617,43.0000
618,43.3333
619,42.6667
620,42.6667
621,42.6667
622,42.6667
623,42.6667
624,42.3333
625,40.3333
626,42.6667
627,42.0000
628,42.3333
629,43.6667
630,43.0000
631,42.6667
632,44.6667
633,44.6667
634,43.6667
635,44.6667
636,43.6667
637,43.6667
638,43.6667
639,42.6667
640,42.6667
641,42.3333
642,43.3333
643,43.0000
644,44.3333
645,44.0000
646,44.6667
647,45.6667
648,45.6667
649,44.0000
650,43.6667
651,43.6667
652,44.3333
