Distance_(pixels),Gray_Value
0,31.3333
1,31.6667
2,32.0000
3,33.6667
4,32.6667
5,31.6667
6,32.6667
7,35.0000
8,34.0000
9,34.3333
10,33.3333
11,35.0000
12,33.3333
13,33.0000
14,35.3333
15,32.6667
16,35.3333
17,35.0000
18,34.3333
19,33.3333
20,34.3333
21,35.6667
22,35.3333
23,34.3333
24,35.0000
25,34.3333
26,34.6667
27,34.0000
28,35.6667
29,34.6667
30,34.3333
31,34.6667
32,34.6667
33,34.0000
34,34.6667
35,37.3333
36,36.0000
37,35.6667
38,36.3333
39,39.0000
40,37.3333
41,37.0000
42,38.0000
43,39.0000
44,40.0000
45,38.6667
46,39.3333
47,38.6667
48,39.3333
49,40.0000
50,39.3333
51,37.6667
52,40.0000
53,39.6667
54,41.6667
55,40.0000
56,43.6667
57,41.0000
58,39.6667
59,39.3333
60,42.6667
61,44.0000
62,42.6667
63,42.0000
64,42.0000
65,41.0000
66,42.6667
67,44.6667
68,44.0000
69,43.6667
70,44.0000
71,42.0000
72,44.6667
73,43.6667
74,44.6667
75,45.6667
76,45.0000
77,45.3333
78,45.6667
79,44.3333
80,44.6667
81,47.6667
82,47.6667
83,45.3333
84,47.3333
85,47.6667
86,49.6667
87,49.3333
88,49.6667
89,48.6667
90,49.6667
91,51.3333
92,51.3333
93,51.0000
94,50.6667
95,51.0000
96,53.3333
97,52.3333
98,54.3333
99,54.0000
100,54.6667
101,53.3333
102,53.3333
103,55.0000
104,55.0000
105,56.0000
106,56.3333
107,56.6667
108,57.3333
109,56.6667
110,57.6667
111,59.0000
112,58.0000
113,58.0000
114,60.6667
115,61.6667
116,63.0000
117,63.6667
118,63.3333
119,64.0000
120,64.6667
121,63.6667
122,64.0000
123,64.3333
124,65.3333
125,65.6667
126,66.6667
127,67.6667
128,67.0000
129,67.0000
130,68.3333
131,69.0000
132,69.3333
133,68.3333
134,69.0000
135,68.6667
136,70.0000
137,69.3333
138,71.6667
139,71.3333
140,71.0000
141,71.0000
142,72.3333
143,71.3333
144,73.3333
145,72.6667
146,72.6667
147,73.3333
148,74.6667
149,72.6667
150,72.6667
151,74.3333
152,74.6667
153,74.6667
154,74.6667
155,77.0000
156,76.6667
157,77.0000
158,77.0000
159,76.3333
160,76.3333
161,77.0000
162,76.0000
163,76.3333
164,78.3333
165,78.6667
166,79.3333
167,79.0000
168,79.6667
169,79.0000
170,78.0000
171,78.0000
172,79.6667
173,80.6667
174,79.6667
175,79.3333
176,79.0000
177,79.6667
178,80.3333
179,81.0000
180,81.0000
181,82.0000
182,82.3333
183,81.6667
184,82.6667
185,82.3333
186,83.0000
187,83.3333
188,83.3333
189,82.6667
190,83.3333
191,82.6667
192,82.6667
193,83.3333
194,85.0000
195,86.3333
196,85.0000
197,85.6667
198,83.6667
199,85.0000
200,84.3333
201,84.3333
202,85.6667
203,85.6667
204,85.6667
205,86.0000
206,86.6667
207,86.3333
208,87.0000
209,87.3333
210,86.6667
211,86.3333
212,86.3333
213,87.3333
214,86.3333
215,85.3333
216,88.0000
217,87.3333
218,87.6667
219,88.3333
220,87.3333
221,87.6667
222,89.3333
223,89.6667
224,87.3333
225,87.3333
226,87.6667
227,88.0000
228,89.3333
229,88.3333
230,88.6667
231,88.6667
232,88.0000
233,87.3333
234,89.3333
235,89.6667
236,89.3333
237,88.6667
238,89.3333
239,89.0000
240,88.6667
241,87.0000
242,88.6667
243,88.6667
244,88.3333
245,89.3333
246,89.6667
247,88.0000
248,88.0000
249,87.3333
