Distance_(pixels),Gray_Value
0,45.6667
1,45.6667
2,45.6667
3,46.3333
4,46.3333
5,46.3333
6,47.6667
7,47.6667
8,48.0000
9,47.6667
10,47.0000
11,46.3333
12,47.0000
13,47.0000
14,46.6667
15,46.3333
16,49.0000
17,47.0000
18,46.3333
19,46.0000
20,47.6667
21,47.0000
22,47.6667
23,48.0000
24,48.6667
25,48.0000
26,47.6667
27,47.0000
28,48.3333
29,50.0000
30,50.3333
31,49.0000
32,48.0000
33,49.6667
34,50.6667
35,50.6667
36,50.6667
37,49.6667
38,50.6667
39,50.3333
40,50.6667
41,51.6667
42,50.6667
43,51.3333
44,51.6667
45,53.0000
46,52.3333
47,52.0000
48,52.6667
49,54.0000
50,53.6667
51,55.0000
52,55.0000
53,53.6667
54,53.6667
55,52.3333
56,54.3333
57,54.3333
58,54.6667
59,54.3333
60,55.0000
61,55.0000
62,55.6667
63,54.6667
64,56.0000
65,54.3333
66,55.3333
67,56.0000
68,56.6667
69,57.0000
70,57.3333
71,56.6667
72,59.6667
73,59.3333
74,59.0000
75,56.3333
76,59.6667
77,59.6667
78,59.6667
79,58.6667
80,60.0000
81,60.0000
82,61.0000
83,60.3333
84,61.3333
85,61.3333
86,62.6667
87,62.6667
88,63.6667
89,63.0000
90,66.6667
91,68.0000
92,67.3333
93,66.6667
94,68.3333
95,69.3333
96,68.6667
97,68.3333
98,69.0000
99,69.3333
100,69.0000
101,69.6667
102,69.3333
103,71.0000
104,69.3333
105,69.3333
106,68.6667
107,71.0000
108,70.3333
109,69.6667
110,70.3333
111,71.6667
112,71.0000
113,70.3333
114,72.3333
115,71.3333
116,72.0000
117,71.3333
118,71.6667
119,71.6667
120,71.6667
121,71.3333
122,73.3333
123,74.6667
124,73.3333
125,71.3333
126,72.0000
127,72.6667
128,72.3333
129,71.3333
130,72.6667
131,73.6667
132,74.0000
133,72.6667
134,72.6667
135,73.3333
136,73.3333
137,73.0000
138,74.0000
139,72.0000
140,73.3333
141,73.3333
142,73.6667
143,72.0000
144,74.3333
145,74.3333
146,73.3333
147,73.6667
148,73.6667
149,74.0000
150,73.6667
151,75.3333
152,74.3333
153,74.6667
154,74.0000
155,72.6667
156,73.0000
157,73.3333
158,74.6667
159,75.6667
160,74.6667
161,73.3333
162,74.0000
163,74.6667
164,74.6667
165,75.0000
166,74.3333
167,73.6667
168,74.6667
169,74.6667
170,75.6667
171,74.3333
172,76.0000
173,75.0000
174,74.6667
175,75.0000
176,75.6667
177,75.0000
178,76.3333
179,75.0000
180,75.6667
181,75.3333
182,75.6667
183,77.3333
184,75.6667
185,76.3333
186,75.6667
187,74.6667
188,75.6667
189,75.6667
190,75.3333
191,75.6667
192,76.0000
193,76.3333
194,76.3333
195,76.0000
196,75.6667
197,74.6667
198,76.0000
199,75.3333
200,75.3333
201,77.0000
202,76.3333
203,75.6667
204,75.6667
205,76.3333
206,77.6667
207,78.0000
208,76.3333
209,76.0000
210,76.0000
211,76.3333
212,76.6667
213,76.3333
214,76.6667
215,75.6667
216,76.6667
217,75.6667
218,76.6667
219,76.6667
220,77.0000
221,77.6667
222,77.3333
223,78.3333
224,77.6667
225,76.0000
226,77.0000
227,75.6667
228,77.6667
229,80.0000
230,77.6667
231,77.6667
232,78.0000
233,77.3333
234,76.6667
235,74.6667
236,74.3333
237,74.3333
238,76.0000
239,78.0000
240,77.3333
241,77.3333
242,77.0000
243,76.3333
244,76.3333
245,78.0000
246,78.0000
247,78.0000
248,77.3333
249,76.0000
250,76.6667
251,75.3333
252,76.3333
253,75.6667
254,78.0000
255,78.0000
256,78.0000
257,78.0000
258,77.6667
259,76.0000
260,77.3333
261,77.3333
262,77.0000
263,76.6667
264,77.3333
265,78.6667
266,77.6667
267,77.3333
268,77.0000
269,75.6667
270,78.3333
271,78.0000
272,78.6667
273,77.6667
274,77.3333
275,76.0000
276,76.0000
277,76.3333
278,77.3333
279,77.0000
280,77.6667
281,78.3333
282,78.0000
283,77.6667
284,77.3333
285,76.6667
286,77.0000
287,78.6667
288,79.0000
289,78.3333
290,77.3333
291,77.6667
292,77.3333
293,76.6667
294,78.0000
295,78.6667
296,79.3333
297,79.3333
298,79.6667
299,77.6667
300,78.6667
301,77.3333
302,77.3333
303,77.3333
304,78.0000
305,77.3333
306,77.3333
307,78.0000
308,77.3333
309,77.6667
310,78.0000
311,78.0000
312,79.0000
313,77.6667
314,78.0000
315,78.6667
316,78.0000
317,79.0000
318,79.0000
319,77.6667
320,79.0000
321,79.3333
322,79.3333
323,79.0000
324,78.0000
325,79.0000
326,78.6667
327,79.6667
328,78.0000
329,79.0000
330,79.6667
331,79.6667
332,80.3333
333,77.3333
334,80.6667
335,80.0000
336,78.3333
337,78.0000
338,79.0000
339,78.0000
340,78.6667
341,80.6667
342,79.6667
343,79.0000
344,78.3333
345,77.6667
346,77.6667
347,78.3333
348,78.3333
349,77.6667
350,78.3333
351,77.6667
352,79.3333
