Distance_(pixels),Gray_Value
0,31.3333
1,32.3333
2,32.6667
3,33.0000
4,31.3333
5,32.6667
6,33.0000
7,32.6667
8,32.6667
9,32.6667
10,32.6667
11,32.0000
12,34.0000
13,33.3333
14,34.0000
15,33.0000
16,33.0000
17,34.3333
18,33.6667
19,34.3333
20,33.0000
21,33.3333
22,35.0000
23,34.6667
24,34.0000
25,35.3333
26,32.6667
27,32.3333
28,33.3333
29,33.3333
30,34.6667
31,34.6667
32,34.3333
33,33.0000
34,33.6667
35,33.3333
36,35.3333
37,37.0000
38,34.0000
39,33.0000
40,35.3333
41,33.3333
42,34.6667
43,35.6667
44,35.6667
45,35.6667
46,36.3333
47,36.0000
48,36.3333
49,34.6667
50,33.6667
51,34.6667
52,37.0000
53,33.3333
54,36.0000
55,35.3333
56,37.3333
57,37.0000
58,37.3333
59,35.6667
60,38.3333
61,37.0000
62,36.6667
63,37.0000
64,37.0000
65,38.0000
66,37.3333
67,35.3333
68,36.6667
69,37.6667
70,37.3333
71,36.6667
72,36.3333
73,37.0000
74,39.0000
75,36.0000
76,36.3333
77,35.6667
78,37.0000
79,36.3333
80,37.3333
81,39.6667
82,39.6667
83,39.0000
84,39.3333
85,39.3333
86,39.0000
87,37.6667
88,39.6667
89,39.0000
90,40.0000
91,39.3333
92,39.3333
93,37.3333
94,39.3333
95,39.3333
96,39.3333
97,38.3333
98,39.0000
99,40.0000
100,41.0000
101,39.6667
102,40.6667
103,39.3333
104,39.3333
105,40.0000
106,39.0000
107,39.6667
108,43.0000
109,42.6667
110,42.0000
111,41.0000
112,41.0000
113,43.3333
114,42.3333
115,39.6667
116,42.0000
117,42.3333
118,41.0000
119,40.6667
120,42.6667
121,43.6667
122,42.6667
123,41.6667
124,43.6667
125,43.3333
126,44.0000
127,43.0000
128,44.0000
129,43.0000
130,43.3333
131,44.0000
132,43.3333
133,42.0000
134,43.6667
135,44.0000
136,45.3333
137,44.3333
138,45.0000
139,44.6667
140,44.3333
141,43.0000
142,43.6667
143,46.3333
144,45.6667
145,45.6667
146,45.6667
147,46.3333
148,46.3333
149,46.3333
150,47.6667
151,47.6667
152,48.0000
153,47.6667
154,47.0000
155,46.3333
156,47.0000
157,47.0000
158,46.6667
159,46.3333
160,49.0000
161,47.0000
162,46.3333
163,46.0000
164,47.6667
165,47.0000
166,47.6667
167,48.0000
168,48.6667
169,48.0000
170,47.6667
171,47.0000
172,48.3333
173,50.0000
174,50.3333
175,49.0000
176,48.0000
177,49.6667
178,50.6667
179,50.6667
180,50.6667
181,49.6667
182,50.6667
183,50.3333
184,50.6667
185,51.6667
186,50.6667
187,51.3333
188,51.6667
189,53.0000
190,52.3333
191,52.0000
192,52.6667
193,54.0000
194,53.6667
195,55.0000
196,55.0000
197,53.6667
198,53.6667
199,52.3333
200,54.3333
201,54.3333
202,54.6667
203,54.3333
204,55.0000
205,55.0000
206,55.6667
207,54.6667
208,56.0000
209,54.3333
210,55.3333
211,56.0000
212,56.6667
213,57.0000
214,57.3333
215,56.6667
216,59.6667
217,59.3333
218,59.0000
219,56.3333
220,59.6667
221,59.6667
222,59.6667
223,58.6667
224,60.0000
225,60.0000
226,61.0000
227,60.3333
228,61.3333
229,61.3333
230,62.6667
231,62.6667
232,63.6667
233,63.0000
234,66.6667
235,68.0000
236,67.3333
237,66.6667
238,68.3333
239,69.3333
240,68.6667
241,68.3333
242,69.0000
243,69.3333
244,69.0000
245,69.6667
246,69.3333
247,71.0000
248,69.3333
249,69.3333
250,68.6667
251,71.0000
252,70.3333
253,69.6667
254,70.3333
255,71.6667
256,71.0000
257,70.3333
258,72.3333
259,71.3333
260,72.0000
261,71.3333
262,71.6667
263,71.6667
264,71.6667
265,71.3333
266,73.3333
267,74.6667
268,73.3333
269,71.3333
270,72.0000
271,72.6667
272,72.3333
273,71.3333
274,72.6667
275,73.6667
276,74.0000
277,72.6667
278,72.6667
279,73.3333
280,73.3333
281,73.0000
282,74.0000
283,72.0000
284,73.3333
285,73.3333
286,73.6667
287,72.0000
288,74.3333
289,74.3333
290,73.3333
291,73.6667
292,73.6667
293,74.0000
294,73.6667
295,75.3333
296,74.3333
297,74.6667
298,74.0000
299,72.6667
300,73.0000
301,73.3333
302,74.6667
303,75.6667
304,74.6667
305,73.3333
306,74.0000
307,74.6667
308,74.6667
309,75.0000
310,74.3333
311,73.6667
312,74.6667
313,74.6667
314,75.6667
315,74.3333
316,76.0000
317,75.0000
318,74.6667
319,75.0000
320,75.6667
321,75.0000
322,76.3333
323,75.0000
324,75.6667
325,75.3333
326,75.6667
327,77.3333
328,75.6667
329,76.3333
330,75.6667
331,74.6667
332,75.6667
333,75.6667
334,75.3333
335,75.6667
336,76.0000
337,76.3333
338,76.3333
339,76.0000
340,75.6667
341,74.6667
342,76.0000
343,75.3333
344,75.3333
345,77.0000
346,76.3333
347,75.6667
348,75.6667
349,76.3333
350,77.6667
351,78.0000
352,76.3333
353,76.0000
354,76.0000
355,76.3333
356,76.6667
357,76.3333
358,76.6667
359,75.6667
360,76.6667
361,75.6667
362,76.6667
363,76.6667
364,77.0000
365,77.6667
366,77.3333
367,78.3333
368,77.6667
369,76.0000
370,77.0000
371,75.6667
372,77.6667
373,80.0000
374,77.6667
375,77.6667
376,78.0000
377,77.3333
378,76.6667
379,74.6667
380,74.3333
381,74.3333
382,76.0000
383,78.0000
384,77.3333
385,77.3333
386,77.0000
387,76.3333
388,76.3333
389,78.0000
390,78.0000
391,78.0000
392,77.3333
393,76.0000
394,76.6667
395,75.3333
396,76.3333
397,75.6667
398,78.0000
399,78.0000
400,78.0000
401,78.0000
402,77.6667
403,76.0000
404,77.3333
405,77.3333
406,77.0000
407,76.6667
408,77.3333
409,78.6667
410,77.6667
411,77.3333
412,77.0000
413,75.6667
414,78.3333
415,78.0000
416,78.6667
417,77.6667
418,77.3333
419,76.0000
420,76.0000
421,76.3333
422,77.3333
423,77.0000
424,77.6667
425,78.3333
426,78.0000
427,77.6667
428,77.3333
429,76.6667
430,77.0000
431,78.6667
432,79.0000
433,78.3333
434,77.3333
435,77.6667
436,77.3333
437,76.6667
438,78.0000
439,78.6667
440,79.3333
441,79.3333
442,79.6667
443,77.6667
444,78.6667
445,77.3333
446,77.3333
447,77.3333
448,78.0000
449,77.3333
450,77.3333
451,78.0000
452,77.3333
453,77.6667
454,78.0000
455,78.0000
456,79.0000
457,77.6667
458,78.0000
459,78.6667
460,78.0000
461,79.0000
462,79.0000
463,77.6667
464,79.0000
465,79.3333
466,79.3333
467,79.0000
468,78.0000
469,79.0000
470,78.6667
471,79.6667
472,78.0000
473,79.0000
474,79.6667
475,79.6667
476,80.3333
477,77.3333
478,80.6667
479,80.0000
480,78.3333
481,78.0000
482,79.0000
483,78.0000
484,78.6667
485,80.6667
486,79.6667
487,79.0000
488,78.3333
489,77.6667
490,77.6667
491,78.3333
492,78.3333
493,77.6667
494,78.3333
495,77.6667
496,79.3333
497,78.6667
498,80.0000
499,79.6667
500,79.6667
501,79.0000
502,79.3333
503,79.0000
504,79.6667
505,79.6667
506,79.0000
507,77.6667
508,78.3333
509,82.0000
510,79.6667
511,78.0000
512,78.6667
513,78.6667
514,79.0000
515,81.0000
516,79.3333
517,80.3333
518,80.0000
519,79.3333
520,79.0000
521,78.0000
522,78.6667
523,78.0000
524,78.3333
525,80.3333
526,78.6667
527,78.6667
528,79.6667
529,79.3333
530,79.0000
531,78.6667
532,80.0000
533,81.0000
534,81.0000
535,78.6667
536,79.6667
537,79.3333
538,79.3333
539,79.0000
540,79.3333
541,78.6667
542,79.6667
543,80.0000
544,79.0000
545,79.3333
546,79.0000
547,78.3333
548,78.3333
549,79.3333
550,79.3333
551,79.0000
552,79.0000
553,78.6667
554,79.0000
555,78.3333
556,80.6667
557,80.3333
558,79.6667
559,79.0000
560,79.0000
561,78.3333
562,79.3333
563,77.3333
564,79.6667
565,80.3333
566,81.0000
567,81.0000
568,81.6667
569,80.0000
570,79.6667
571,78.6667
572,79.0000
573,79.0000
574,80.6667
575,80.6667
576,79.6667
577,79.6667
578,79.0000
579,78.0000
580,79.0000
581,79.3333
582,78.3333
583,79.6667
584,80.3333
585,81.0000
586,79.6667
587,79.6667
588,80.3333
589,80.0000
590,81.6667
591,81.3333
592,81.0000
593,79.3333
594,79.6667
595,78.3333
596,80.0000
597,78.6667
598,79.6667
599,78.3333
600,79.0000
601,79.6667
602,80.0000
603,78.3333
604,79.6667
605,79.3333
606,80.0000
607,80.0000
608,81.0000
609,80.6667
610,81.0000
611,80.0000
612,80.6667
613,79.6667
614,79.6667
615,78.6667
616,79.6667
617,79.3333
618,79.6667
619,79.0000
620,80.6667
621,79.6667
622,80.0000
623,79.6667
624,81.0000
625,81.0000
626,81.6667
627,79.6667
628,80.3333
629,80.3333
630,80.3333
631,80.3333
632,80.0000
633,80.0000
634,82.0000
635,79.3333
636,80.6667
637,80.3333
638,80.0000
639,81.3333
640,81.3333
641,80.0000
642,81.0000
643,79.3333
644,80.0000
645,81.6667
646,81.6667
647,80.0000
648,79.6667
649,79.6667
650,79.6667
651,78.6667
652,80.0000
653,78.6667
654,80.0000
655,79.3333
656,81.0000
657,80.0000
658,80.6667
659,79.6667
660,79.6667
661,78.0000
662,79.6667
663,81.0000
664,81.0000
665,81.3333
666,81.6667
667,81.6667
668,80.6667
669,81.6667
670,80.0000
671,80.6667
672,80.3333
673,80.3333
674,80.0000
675,79.0000
676,79.0000
677,79.3333
678,81.0000
679,81.6667
680,80.6667
681,80.0000
682,79.3333
683,79.3333
684,79.6667
685,79.6667
686,79.6667
687,81.0000
688,81.6667
689,80.0000
690,81.0000
691,80.3333
692,80.3333
693,78.6667
694,79.6667
695,80.3333
696,79.6667
697,79.3333
698,79.6667
699,79.3333
700,79.0000
701,78.3333
702,80.0000
703,79.3333
704,79.6667
705,79.6667
706,81.6667
707,81.6667
708,80.6667
709,79.3333
710,79.3333
711,80.0000
712,80.3333
713,78.3333
714,79.6667
715,78.0000
716,79.0000
717,79.6667
718,79.0000
719,79.6667
720,80.0000
721,79.3333
722,79.0000
723,78.0000
724,79.6667
725,78.3333
726,77.6667
727,78.0000
728,78.3333
729,79.3333
730,79.6667
731,79.3333
732,79.0000
733,78.6667
734,79.0000
735,79.3333
736,78.0000
737,77.3333
738,79.0000
739,78.6667
740,79.6667
741,78.0000
742,78.6667
743,80.0000
744,78.3333
745,76.6667
746,77.6667
747,78.0000
748,78.6667
749,77.6667
750,79.0000
751,78.3333
752,80.0000
753,81.6667
754,78.3333
755,78.6667
756,79.6667
757,78.3333
758,77.6667
759,78.0000
760,78.0000
761,79.6667
762,78.6667
763,78.6667
764,78.0000
765,78.3333
766,79.3333
767,78.3333
768,78.3333
769,78.3333
770,78.3333
771,77.0000
772,77.3333
773,78.3333
774,77.3333
775,76.0000
776,78.0000
777,76.6667
778,78.0000
779,77.3333
780,78.3333
781,77.6667
782,78.3333
783,78.0000
784,76.3333
785,77.0000
786,77.3333
787,78.0000
788,77.6667
789,76.3333
790,76.0000
791,76.3333
792,75.6667
793,76.3333
794,77.3333
795,75.6667
796,76.0000
797,76.0000
798,76.6667
799,78.3333
800,77.6667
801,76.6667
802,76.6667
803,76.6667
804,76.3333
805,75.6667
806,77.3333
807,76.3333
808,76.0000
809,75.3333
810,75.3333
811,75.3333
812,75.6667
813,75.3333
814,76.0000
815,76.0000
816,77.0000
817,75.0000
818,75.0000
819,76.0000
820,75.6667
821,76.3333
822,76.0000
823,76.3333
824,75.6667
825,75.6667
826,75.6667
827,75.3333
828,75.6667
829,77.0000
830,75.0000
831,75.3333
832,75.3333
833,75.3333
834,76.0000
835,74.6667
836,75.3333
837,75.3333
838,73.3333
839,73.6667
840,75.0000
841,75.3333
842,74.3333
843,73.3333
844,73.6667
845,74.3333
846,74.3333
847,72.6667
848,73.6667
849,75.0000
850,73.6667
851,72.6667
852,73.3333
853,73.0000
854,73.3333
855,73.3333
856,73.3333
857,73.6667
858,72.6667
859,71.6667
860,73.0000
861,73.3333
862,71.6667
863,70.6667
864,72.6667
865,71.6667
866,72.6667
867,72.0000
868,73.6667
869,72.0000
870,71.3333
871,69.6667
872,69.0000
873,71.6667
874,70.6667
875,71.3333
876,70.6667
877,72.3333
878,70.3333
879,70.3333
880,71.3333
881,71.3333
882,72.3333
883,71.3333
884,70.3333
885,69.6667
886,70.0000
887,70.6667
888,70.3333
889,69.6667
890,69.6667
891,70.3333
892,69.3333
893,69.0000
894,70.0000
895,70.0000
896,68.0000
897,68.3333
898,68.3333
899,68.0000
900,68.6667
901,70.0000
902,68.0000
903,67.3333
904,66.0000
905,66.6667
906,65.3333
907,66.0000
908,66.3333
909,68.3333
910,67.0000
911,65.6667
912,64.0000
913,62.6667
914,60.3333
915,58.6667
916,59.3333
917,57.3333
918,56.6667
919,55.6667
920,55.6667
921,54.0000
922,53.6667
923,53.6667
924,53.6667
925,53.6667
926,53.6667
927,50.3333
928,52.3333
929,51.3333
930,52.0000
931,50.6667
932,50.6667
933,52.0000
934,51.3333
935,50.6667
936,51.3333
937,50.0000
938,49.0000
939,49.6667
940,49.6667
941,51.3333
942,52.0000
943,51.6667
944,49.6667
945,49.0000
946,50.6667
947,48.6667
948,48.0000
949,46.3333
950,48.6667
951,48.6667
952,49.6667
953,47.0000
954,48.0000
955,49.0000
956,47.6667
957,46.6667
958,46.0000
959,47.0000
960,47.0000
961,47.0000
962,48.0000
963,48.3333
964,49.3333
965,50.0000
966,47.6667
967,45.0000
968,45.3333
969,45.0000
970,46.6667
971,47.0000
972,47.6667
973,45.6667
974,44.6667
975,45.6667
976,45.3333
977,43.0000
978,44.3333
979,44.3333
980,44.3333
981,44.0000
982,44.0000
983,43.3333
984,44.0000
985,46.0000
986,45.0000
987,43.0000
988,43.6667
989,44.0000
990,46.0000
991,43.3333
992,43.3333
993,44.0000
994,44.0000
995,42.0000
996,43.3333
997,43.3333
998,44.6667
999,42.6667
1000,42.6667
1001,43.0000
1002,43.0000
1003,43.0000
1004,43.6667
1005,43.0000
1006,43.3333
1007,43.0000
1008,42.0000
1009,40.3333
1010,40.3333
1011,41.6667
1012,41.0000
1013,41.3333
1014,40.0000
1015,39.0000
1016,41.3333
1017,41.3333
1018,39.6667
1019,40.3333
1020,41.3333
1021,40.3333
1022,41.3333
1023,39.6667
1024,40.6667
1025,40.3333
1026,39.6667
1027,41.0000
1028,41.0000
1029,40.6667
1030,41.6667
1031,42.0000
1032,41.0000
1033,40.6667
1034,40.3333
1035,40.0000
1036,40.0000
1037,39.3333
1038,40.3333
1039,39.3333
1040,39.0000
1041,39.6667
1042,39.3333
1043,39.6667
1044,39.0000
1045,39.6667
1046,40.0000
1047,38.6667
1048,40.0000
1049,40.0000
1050,39.0000
1051,37.3333
1052,38.6667
1053,39.6667
1054,39.0000
1055,39.0000
1056,39.6667
1057,39.3333
1058,40.3333
1059,38.0000
1060,40.6667
1061,40.3333
1062,39.3333
1063,37.0000
1064,38.6667
1065,39.6667
1066,39.3333
1067,38.0000
1068,38.0000
1069,37.6667
1070,39.3333
1071,39.3333
1072,39.3333
1073,38.0000
1074,38.3333
1075,37.0000
1076,38.0000
1077,37.0000
1078,36.3333
1079,37.3333
1080,39.3333
1081,37.6667
1082,38.0000
1083,37.3333
1084,35.6667
1085,34.6667
1086,35.6667
1087,36.0000
1088,36.3333
1089,37.0000
1090,35.6667
1091,35.3333
1092,35.0000
1093,36.3333
1094,38.0000
1095,38.3333
1096,35.0000
1097,35.3333
1098,34.6667
1099,34.6667
1100,34.3333
1101,35.0000
1102,35.3333
1103,33.6667
1104,33.0000
1105,34.6667
1106,34.6667
1107,35.0000
1108,33.3333
1109,34.3333
1110,34.3333
1111,35.0000
1112,34.0000
1113,34.3333
1114,33.6667
1115,34.3333
1116,34.6667
1117,35.6667
1118,34.6667
1119,36.3333
1120,34.3333
1121,34.6667
1122,34.3333
1123,34.3333
1124,33.6667
1125,34.3333
1126,34.6667
1127,35.0000
